MAGs	DA_D_01	DA_D_02	DA_D_03	DA_D_04	DA_D_05	DA_D_06	DA_D_07	DA_D_08	DA_D_09	DA_D_10	DA_D_11	DA_D_12	DA_D_13	DA_D_14	DA_D_15	DA_D_16	DA_D_17	DA_D_18	DA_D_19	DA_D_20	DA_D_21	DA_D_22	DA_D_23	DA_D_24	DA_R01_CDI_P_01_PRE	DA_R01_CDI_P_02_POST	DA_R01_CDI_P_03_POST	DA_R01_CDI_P_05_POST	DA_R01_CDI_P_06_POST	DA_R01_CDI_P_08_PRE	DA_R02_CDI_C_01_PRE	DA_R02_CDI_C_02_PRE	DA_R02_CDI_C_03_POST	DA_R02_CDI_C_04_POST	DA_R02_CDI_C_05_POST	DA_R02_CDI_C_06_POST	DA_R02_CDI_C_07_POST	DA_R03_CDI_C_01_PRE	DA_R03_CDI_C_02_PRE	DA_R03_CDI_C_03_PRE	DA_R03_CDI_C_04_POST	DA_R03_CDI_C_05_POST	DA_R03_CDI_C_06_POST	DA_R03_CDI_C_07_POST	DA_R03_CDI_C_08_POST	DA_R04_UC_P_01_PRE	DA_R04_UC_P_02_PRE	DA_R04_UC_P_03_POST	DA_R04_UC_P_04_POST	DA_R04_UC_P_05_POST	DA_R04_UC_P_06_POST	DA_R04_UC_P_07_POST	DA_R04_UC_P_09_POST	DA_R05_UC_C_01_PRE	DA_R05_UC_C_02_POST	DA_R05_UC_C_03_POST	DA_R05_UC_C_04_POST	DA_R05_UC_C_05_POST
DA_MAG_00001	2.108571061	0.478866825	0.811128466	0.929830554	0.500975535	2.090575421	0.472456134	0.311206091	0.780292998	0.406848775	0.792139326	0.60084879	0.204381614	0.634413082	0.862169731	0.883184203	1.068106924	1.410358032	1.568456134	0.470165777	0.000473985	0.408008999	0.786968553	1.597560248	0	1.427296391	3.527981799	2.654751354	1.775582725	0	0	0	0.104062857	0.154324993	0.052310997	2.054274424	0.301120322	0	0	0	1.743829937	0	0.002700286	0.063512471	0	0	0.001418583	0.426580077	0.00682937	0.055879439	0.065903675	0.555140165	1.216057569	0	0.391104907	0.063406466	0.395848043	0.211527906
DA_MAG_00002	0.009978196	0	0.010029955	0	0	0	0	0.019898826	0.016542255	0.022431119	0.039993338	1.104713949	1.259524032	0.025285422	0.054802897	1.217913297	0.024911602	16.54717808	0.086063312	0.006481301	0.444085324	0.007723957	3.604978792	0.107748152	478.0385396	7.365895074	10.89564231	17.00307787	0.603916436	475.9024324	479.137246	433.2829404	21.08604375	8.807821568	0.938079541	7.225673086	1.625151256	238.8653209	290.3008118	76.92677896	16.3020612	9.244134171	4.362132881	1.24125814	4.841313207	1222.578329	1564.583079	3.164579164	0.229782771	0.758095183	129.1880454	4.003064873	0.145112183	88.93558258	0	0.003467724	0.003490541	0
DA_MAG_00003	3.660359782	0.423660459	1.203373685	1.646579338	0.639892214	5.724151019	1.268855106	0.333169825	1.156289006	0.678303671	1.802697434	1.033602361	6.370437767	1.451798415	2.073719831	2.963073146	2.691297404	3.610272345	2.275150047	2.462693847	0.019974454	0.911154676	3.021916354	2.909699337	0	3.820950715	8.046162504	11.20537781	4.850162197	0	0.008935346	5.437040441	3.712391705	0.025689588	0.482850601	1.997584149	0.772053645	0.044108369	0.004411568	0	0.666369583	0	0	0	0	0	0.036878386	2.644156506	0.062279134	0.221244241	0.006069856	0.918616725	2.301826761	0	0.057201617	0.036735273	0	0
DA_MAG_00004	2.306438381	0	0.009573249	0	0	0	0	8.977066552	2.995629147	6.085424822	2.213450568	2.83802024	35.32218444	0.434299232	5.32818482	0.580452218	1.218293014	1.859095805	1.183074739	2.200338715	0	1.554623293	1.621924332	6.769402072	0	0.067925886	1.074060312	0.00734709	0	0	0	0	1.859452949	1.974247514	0.003400303	0.019950978	0	0.000162338	0	0	2.810230474	0.009073359	0.446616438	0.153417489	0	0	0.099307595	4.901491192	2.684647599	12.86120237	0.31111766	6.14918295	3.45374883	0.000254276	0.47087534	0.256073559	0.288994239	2.809361359
DA_MAG_00005	0.37916514	0.069709384	0.245685147	0.30777588	0.317016503	15.56136672	2.586621488	1.0636854	0.199821956	2.863501793	4.704835982	1.343796925	2.536718301	2.44563428	1.735504889	5.368631206	1.374281903	13.29229861	4.013080681	1.070825834	0.079847059	5.156763542	3.486129524	12.90193437	0.001839653	23.7479781	11.68740285	17.40673207	34.03153974	0	0.009511297	0	15.28684945	2.759487919	1.218124348	26.95570208	6.521882612	0.00583444	0	0	2.043489026	0	1.6066613	0.089436893	0.947236983	0	0.441419349	14.69855071	3.867211867	1.320729437	3.683977794	7.570748402	15.98736585	0.005474453	0.180265857	0.49767645	0	0
DA_MAG_00006	4.175322284	5.115384005	2.080416109	3.172332788	4.920703821	7.926211442	4.09538477	3.549840708	3.40372604	9.085712401	2.911937158	1.850727039	4.26656754	6.601928098	6.539094024	6.525778589	7.245736801	15.30660647	5.597078258	5.957165695	0.030961755	8.983834864	6.533739277	7.744969093	0	7.172346157	8.852772754	18.41682251	19.2083967	0	0	0	8.91129606	0.849130041	0.142515619	6.512616401	2.945679008	0.422855649	0.000531436	0	1.294478594	0	2.140134801	0.212727165	2.13076871	0	0.036802979	3.961070641	0.390913727	0.364490117	0.278018744	3.495540424	3.443614367	0	0	0.311878878	0	0
DA_MAG_00007	10.03789967	10.32861814	10.17431695	14.50550631	3.732610634	11.36784871	6.34956686	8.864063874	8.677747851	8.070758375	9.479413528	5.83166389	2.079244628	16.51035704	7.273519393	7.701034291	11.98376252	11.55329344	5.001753102	10.5535175	0.433096748	3.669021428	4.683078171	3.268924513	0.004773396	2.989019583	1.00562706	5.88803728	2.034008112	0.009953874	0	0	4.916875464	2.99639863	2.728461684	6.286374469	2.501720948	0	0	0	5.501329719	0.327211508	3.277202723	7.579380693	1.290674581	0.00122029	0.024460451	3.222857597	1.533685008	0.102779326	1.223435848	1.233806107	1.513846665	0	0.097250829	0.030653912	0.225662591	0.210590245
DA_MAG_00008	11.294747	3.947436393	1.832052128	0.690960977	0	0	0	0	0	0	0	0	6.366254382	13.4293896	0.423950216	0.161254988	0	0	0	0.000558347	0	0	0	0	10.34912409	2.182587008	1.777098021	1.449940018	0	1.853392522	0	0	0	0	0	0.013201613	1.260729442	11.3094029	2.676806043	0.969360244	0.024948934	0	0	0.005450486	0	0.001853517	0.008957021	0	1.417860866	0.01045562	48.53928209	0.195514579	0	0	0	0	0	0
DA_MAG_00009	8.387721787	3.065882067	11.31200831	13.22507686	2.469416413	29.73025042	9.288877719	8.317266768	2.973307319	3.098326384	3.478893792	1.250491557	1.469826334	2.530566402	25.6858733	16.49609857	5.178407495	7.237858574	24.29854908	22.84761106	0	14.27392946	16.47424683	2.104288081	0	13.04797808	87.17296752	93.1878041	21.16879705	0	0.00122857	0.001567337	0.271922107	0.010442841	0.216053319	0.999948354	0.029494595	0.001648253	0.001909203	0.003140831	5.001323672	0	0	0	0	0	0.022033208	1.652825408	2.181548411	0.036737041	0.028157212	0.446705561	0.691588775	0	0.39515846	0.159623223	0	0
DA_MAG_00010	9.014600538	9.783563002	7.702833472	8.978998008	3.108912414	8.802799668	4.763024114	8.481007178	6.363481071	6.384741316	6.166930751	3.587576511	1.813715987	7.59220112	4.747840431	5.40525733	8.351066887	7.61875746	4.228835749	8.192781011	0.195184739	4.296668607	4.227162439	3.374477801	0	5.871957744	1.879337673	4.322047429	5.492789665	0.006182122	0	0	9.573093375	1.250612717	2.382157657	4.849572297	1.523526991	0	0	0	7.207947487	1.281711054	5.161024265	7.303284537	4.318713081	0.003063607	0.059551298	4.978196838	1.014181778	1.411363575	2.739938348	4.218876768	5.097766782	0	1.521569088	0.423339208	4.711355454	8.14092971
DA_MAG_00011	2.175303013	0.380737065	2.980091025	1.417285998	2.488617106	3.081944544	3.219351529	15.44282813	0.350487	3.232842375	0.184737661	0.395923335	1.353127173	2.9320367	2.598623398	0.015573472	5.629461527	16.14229933	0.035679113	13.4433444	0.004671386	12.76172556	11.81524953	11.44456571	0	0	0	0.023598199	0.005042976	0.000235503	0	0	0.004466589	0.009709078	0.006135513	0.001967234	0.004313403	0.011797647	0.002426793	0	0.002007546	0	0	0.036208235	0.004240841	0	0	8.94E-05	0.002410668	0	0.014527349	0	0	0.004903036	0.028390082	27.84207426	0.031689998	0.022881456
DA_MAG_00012	1.018510718	0.744039603	1.070253042	1.82086432	1.269465934	0.693808122	0.313174073	0.157161527	0.632376962	1.999931554	0.387784056	0.279983438	0.074566303	0.818175744	0.700065567	1.587542003	1.946640988	2.562813114	0.467546226	0.441992385	0.07596631	0.353511578	0.315163638	0.559591135	0	0.683975644	0.448589872	0.102452401	0.265550624	0	0	0	0.174839532	0.001259344	0.010801732	0.266038275	0.034086075	0	0	0.007597557	0.277932418	0	0.281294717	0.124060308	0.311456562	0	0.019135803	1.876104515	0	0.006300885	0.006023131	0.127616984	0.188696267	0	0.01866264	0.092101106	0	0
DA_MAG_00013	0.005573973	0	0	0	0.160184139	2.037327224	0.65683298	0.48384048	0.664552325	1.134016312	1.29581164	0.360940774	0.43469854	0.94444549	0.976115272	1.095944214	1.168171214	0.63880461	0.435595792	0.839986712	0	0.360541809	0.366953035	0.780841058	0	1.298671216	0.465448302	1.507070431	2.25056708	0	0	0	0.631323727	0.017154718	0.139064598	0.12256677	0.020453975	0	0.004582268	0	0.303375164	0.613462092	1.852056031	2.04124874	2.329284745	0	0.014747487	1.994651702	0.144334204	0.025895879	0.003516382	0	0.001579339	0	0	0	0	0
DA_MAG_00014	0.188102666	0	0.004615558	0	0	0	0	0	0.225427099	0.830967374	0.306759002	2.449506467	6.781427752	1.531626242	2.921796111	7.546794601	4.287685623	1.421283305	0.150008989	2.04923496	0.159488341	0.396977731	0.79149971	5.177829826	0.004975978	21.93407943	4.339919531	3.590011154	22.92320135	0	0.00127625	0	0.037207587	0.021841993	1.960759796	9.735233355	7.85304859	0	0.003918521	0	3.319261119	9.537380408	10.92505335	12.5350049	11.95210594	0.004913039	0.191846373	3.445407603	0.061390211	3.255127066	0.118733453	4.985414752	0	0	0	0	0	0
DA_MAG_00015	58.23422103	39.11749657	43.33266863	28.30013058	235.050146	50.13192476	50.78893282	79.65746624	16.89599066	38.62879788	53.22404511	19.66083816	23.91831503	42.19455551	30.61396457	18.18104763	62.92164706	53.01792259	20.31369681	91.53996686	0.230712908	58.81090621	42.82227159	39.2285593	0.000533719	20.4700222	11.42224799	36.1438693	60.55114168	0.027527328	0.014203741	0.001664242	30.2717529	5.082322505	23.18130638	22.19708247	6.208203991	0.004043481	0.000584429	0	4.496032912	0.00612482	40.30400083	4.974051655	18.97230864	0.006103384	0.352498037	12.88761591	11.83146019	2.936035672	10.72072342	4.668205066	3.623889191	0.005032594	39.0969282	45.03081212	52.57006543	68.37004005
